Операция,Время (мс)
search_users_by_login_pattern,1.11
search_users_by_role,0.90
search_functions_by_name,1.78
search_functions_by_user_id,0.52
search_functions_combined,0.34
search_points_by_function_id,0.78
search_points_by_x_range,0.71
sort_users_by_login_asc,0.74
sort_users_by_login_desc,0.72
sort_users_by_id_asc,0.58
sort_functions_by_name_asc,3.24
sort_functions_by_user_id_asc,1.37
sort_points_by_x_asc,10.88
sort_points_by_function_id_asc,9.81
sort_points_by_function_x_asc,0.50
sort_points_by_function_x_desc,0.49
